Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
MIDLAND CREDIT MANAGEMENT  INC.;IT Services & Consulting | 1k-5k Employees | 71 years old | San Diego +2 more;3.9;Company Culture, Job Security;Promotions / Appraisal;110;533;4;16;31;;
L&T Construction;Mining and Industrial Machinery | 1k-5k Employees | Kancheepuram +25 more;4.4;Job Security, Skill Development / Learning, Company Culture;;117;101;4;--;100;;
Apollo Gleneagles Hospitals;Healthcare | 501-1k Employees | 21 years old | Kolkata +1 more;4.3;Job Security, Skill Development / Learning, Work Life Balance;Salary & Benefits, Promotions / Appraisal;168;515;1;--;18;;
Ministry Of Health;Healthcare | 10k-50k Employees | Public | 48 years old | Delhi/NCR +50 more;4.4;Work Life Balance, Work Satisfaction, Skill Development / Learning;;305;1.1k;11;1;33;;
MAYBRIGHT VENTURES PRIVATE LIMITED;FinTech | 51-200 Employees | Startup | 8 years old | Kolkata +2 more;3.5;Work Satisfaction, Work Life Balance, Promotions / Appraisal;;104;438;9;46;13;;
East Wind Footwear Company Ltd.;Fashion & Textile | 1k-5k Employees | Cheyyar +3 more;4.3;Salary & Benefits, Job Security, Skill Development / Learning;;84;383;5;--;7;;
Sanjay Ghodawat International School;Education & Training | 201-500 Employees | 14 years old | Kolhapur +10 more;2.7;Job Security, Work Life Balance, Work Satisfaction;;137;348;6;1;41;;
Denso Haryana Private Limited;Auto Components | 501-1k Employees | Manesar +5 more;4.1;Job Security, Company Culture;;97;431;9;--;25;;
Lavender Technology;Bangalore / Bengaluru +4 more;5.0;Company Culture, Promotions / Appraisal, Skill Development / Learning;;508;2;2;--;15;;
InternEzy;EdTech | 51-200 Employees | Erode +5 more;5.0;Work Life Balance, Work Satisfaction, Skill Development / Learning;;414;3;--;--;99;;
Royal Migration Solutions;Dubai +7 more;5.0;Company Culture, Job Security, Skill Development / Learning;;341;2;--;--;5;;
Stirring Minds;11-50 Employees | New Delhi +5 more;5.0;Company Culture, Promotions / Appraisal, Work Life Balance;;278;31;10;--;3;;
Dr.SNS Rajalakshmi College Of Arts and Science;Education & Training | 201-500 Employees | Coimbatore;5.0;Job Security, Promotions / Appraisal, Skill Development / Learning;;221;20;7;--;59;;
Matrimonialsindia;Internet | 1k-5k Employees | 27 years old | New Delhi;5.0;Promotions / Appraisal, Skill Development / Learning, Job Security;;171;114;--;4;24;;
